Agrupación,Candidato a presidente,Candido a vicepresidente,Candidato a 2do vicepresidente
Ahora Nación,Alfonso López Chau,Luis Villanueva,Ruth Buendía
Alianza Fuerza y Libertad,Fiorella Molinelli,Gilbert Violeta,María Pariona
Alianza Para el Progreso,César Acuña,Jessica Tumi,Alejandro Soto
Alianza Unidad Nacional,Roberto Chiabra,Javier Bedoya,Neldy Mendoza
Alianza Veceremos,Ronald Atencio,Elena Rivera,Alberto Quintanilla
Avanza País,José Williams,Fernán Altuve,Adriana Tudela
Cooperación Popular,Yonhy Lescano,Carmela Salazar,Vanessa Lazo
Frente de la Esperanza,Fernando Olivera,Elizabeth León,Carlos Cuaresma
Fuerza Popular,Keiko Fujimori,Luis Galarreta,Miguel Torres
Integrida Democrática,Wolfgang Grozo Costa,Betha Azabache Miranda,Wellington Prada
Juntos por el Perú,Roberto Sánchez,Anali Márquez,Brígica Curo Bustincio
Libertad Popular,Rafael Belaunde Llosa,Pedro Cateriano,Tania Porles Bazalar
País para todos,Carlos Álvarez,María Chambizea,Diego Guevara
Partido Aprista Peruano,Enrique Valderrama,María Inés Valdivia,Lucio Vásquez Sánchez
Partido Cívico Obras,Ricardo Belmont,Daniel Barragán,Dina Hancco
Partido de los Trabajadores y Emprendedores del Perú,Napoleón Becerra,Winston Clemente Huamán,Nélida Cuayla
Partido del Buen Gobierno,Jorge Nieto,Susana Matute,Carlos Caballero León
Partido Demócrata Unido Perú,Charlie Carrasco,María Paredes,Wilbert Segovia
Partido Demócrata Verde,Alex Gonzales,Maritza Sánchez,Félix Murazzo
Partido Democrático Federal,Armando Masse,Virgilio Acuña,Lydia Diaz
Partido Morado,Mesías Guevara,Heber Cueva,Marisol Liñan
Partido Patriótico del Perú,Herbert Caller,Rossana Montes Tello,Jorge Carcovich
Partido Político PRIN,Walter Chirinos Purizaga,Julio Vega Ybañez,Mayra Vargas Gil
Perú Acción,Francisco Diez Canseco,Roberto Koster,Clara Quispe Torres
Perú Libre,Vladimir Cerrón,Flavio Cruz,Bertha Rojas
Perú Moderno,Carlos Jaico,Miguel Almenara,Liz Quispe
Perú Primero,Mario Vizcarra,Carlos Illanes,Judith Mendoza
Podemos Perú,José Luna Gálvez,Cecilia García,Raúl Noblecilla
Progresemos,Paul Jaimes,Mónica Guillén,Jorge Luis Caloggero
Renovación Popular,Rafael López Aliaga,Norma Yarrow,Jhon Ramos Malpica
Salvemos al Perú,Antonio Ortiz Villano,Jaime José Freundt López,Giovanna Demurtas Moya
Sí Creo,Carlos Espá,Alejandro Santa María,Melitza Yanzich
Somos Perú,George Forsyth,Johanna Lozada,Herbe Olave
Un Camino Diferente,Rosario Fernández Bazán,Arturo Fernández Bazán,Carlos Pinillos Vinces